Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
Uganda,Sub-Saharan Africa,1902,3.733583927,7.370232105,0.760255516,48.74000168,0.746722817,-0.042478558,0.80658859,0.55203253,0.254417956,0.582253158
Ukraine,Commonwealth of Independent States,1902,4.803954124,9.414028168,0.852453351,60.91999817,0.623814106,-0.262653708,0.929431498,0.551184297,0.249234051,0.15470925
United Arab Emirates,Middle East and North Africa,1902,6.734221935,11.43305492,0.903410435,64.86000061,0.89755702,-0.042062353,0.203358769,0.693962455,0.275255412,
United States,North America and ANZ,1902,7.18179369,10.92078495,0.964571774,66.77999878,0.911496103,,0.600308657,0.774832726,0.260510951,0.558028817
Uruguay,Latin America and Caribbean,1902,5.785868168,9.629241943,0.911876857,66.77999878,0.806579232,-0.122032814,0.476627111,0.701122224,0.306158066,0.652353764
Uzbekistan,Commonwealth of Independent States,1902,5.232322216,8.255723,0.903066933,61.34000015,0.784301162,-0.122146532,0.608808279,0.650082767,0.195057839,0.891237795
Venezuela,Latin America and Caribbean,1902,6.525146008,9.467176437,0.946309865,65.45999908,0.798280835,-0.034786578,0.646170914,0.836671948,0.178482935,0.630931258
Vietnam,Southeast Asia,1902,5.293659687,8.553801537,0.887664497,64.18000031,0.885792136,-0.00345441,,0.65748477,0.203979179,0.860485971
Zambia,Sub-Saharan Africa,1902,4.824454784,7.83403492,0.797664523,46.75999832,0.720971525,-0.008994478,0.78528136,0.663519204,0.226278365,0.526590049
Zimbabwe,Sub-Saharan Africa,1902,3.826268435,7.459545135,0.821655512,40.40000153,0.431110412,-0.059926417,0.904756904,0.66866225,0.297146589,0.317073196
Albania,Central and Eastern Europe,1903,4.634251595,9.121704102,0.821371615,66.76000214,0.528604746,-0.010428508,0.874699533,0.488818616,0.24633503,0.300680578
Argentina,Latin America and Caribbean,1903,6.073158264,10.01307106,0.862205565,65.94000244,0.652832627,-0.144076824,0.881057739,0.749825895,0.279007971,0.405823737
Armenia,Commonwealth of Independent States,1903,4.881515503,9.156567574,0.75964433,64.08000183,0.605410755,-0.252352089,0.817444861,0.453751594,0.411717415,0.387620211
Australia,North America and ANZ,1903,7.285390854,10.69443417,0.965276182,69.95999908,0.890681982,0.343434006,0.512578487,0.762303889,0.215350643,0.526932836
Azerbaijan,Commonwealth of Independent States,1903,4.56815958,9.365991592,0.753246784,60.86000061,0.522046328,-0.208600223,0.870909989,0.474291265,0.284357488,0.708405495
Bangladesh,South Asia,1903,4.607322216,7.997421265,0.514170706,59.63999939,0.604538321,0.027072242,0.806116879,0.484255552,0.313138157,0.732760131
Belarus,Commonwealth of Independent States,1903,5.616976261,9.576188087,0.857527673,60.61999893,0.667299509,-0.228082791,0.694849432,0.502456009,0.234981403,0.543614388
Belgium,Western Europe,1903,7.218839645,10.79118156,0.921602786,68.72000122,0.900870383,0.065253459,0.721093476,0.743583977,0.217604309,0.602238297
Belize,Latin America and Caribbean,1903,6.450644493,9.191672325,0.87226665,64.30000305,0.705305934,0.00844966,0.768984437,0.731540143,0.250595719,0.255463123
Bolivia,Latin America and Caribbean,1903,5.628419399,8.697794914,0.796136498,61.09999847,0.779935241,-0.000725256,0.816993952,0.74573493,0.387786239,0.506285906
Bosnia and Herzegovina,Central and Eastern Europe,1903,4.899806976,9.19063282,0.76560384,67,0.341565669,0.00848286,0.92612499,0.570178032,0.296465814,0.403552294
Brazil,Latin America and Caribbean,1903,6.320672989,9.511839867,0.886402428,63.41999817,0.776644826,-0.019236436,0.72803849,0.77485615,0.299222767,0.383459598
Bulgaria,Central and Eastern Europe,1903,3.843797922,9.746398926,0.831507623,64.77999878,0.5657866,-0.143415853,0.976061046,0.500228405,0.226256058,0.275431663
Burkina Faso,Sub-Saharan Africa,1903,4.017130375,7.337188244,0.770785034,49.88000107,0.582292378,-0.058656864,0.832764924,0.609042525,0.280694842,0.423376143
Cambodia,Southeast Asia,1903,4.15597105,7.826251507,0.675132096,57.97999954,0.818699539,0.113903776,0.878507555,,0.320335418,0.638394773
Cameroon,Sub-Saharan Africa,1903,4.349939346,8.104486465,0.717394173,48.27999878,0.643883944,-0.03891449,0.910349727,0.629790902,0.248631328,0.408499986
Canada,North America and ANZ,1903,7.481752872,10.73396969,,70.62000275,0.930341303,0.245596439,0.405608416,0.811577201,0.256810069,0.63782382
Central African Republic,Sub-Saharan Africa,1903,4.160129547,6.945773602,0.532296896,41.47999954,0.662871003,0.082949884,0.782130718,0.566929102,0.329995304,0.623565912
Chad,Sub-Saharan Africa,1903,4.141326904,7.367519379,0.478950858,47.45999908,0.294611782,-0.013499532,0.873609602,0.597516537,0.245208368,0.228144914
Chile,Latin America and Caribbean,1903,5.697929859,9.910489082,0.814620972,67.95999908,0.66190511,0.238680527,0.722670555,0.708403945,0.34226191,0.42642054
China,East Asia,1903,4.86286211,8.823967934,0.810852408,65.91999817,,-0.178882852,,0.663977444,0.158613518,
Colombia,Latin America and Caribbean,1903,6.138411522,9.33012867,0.893706799,66.54000092,0.785865963,-0.043440264,0.85976088,0.774423897,0.287090033,0.512472034
Costa Rica,Latin America and Caribbean,1903,7.432132244,9.671673775,0.917678237,68.72000122,0.922735691,0.091504224,0.819655001,0.825872421,0.240080148,0.445800394
Croatia,Central and Eastern Europe,1903,5.820907593,10.17382431,0.909822166,66.94000244,0.662205756,-0.09655869,0.934273541,0.549708128,0.33708486,0.385139734
Czechia,Central and Eastern Europe,1903,6.500194073,10.43282795,0.899779022,67.33999634,0.798949361,-0.067165785,0.927871466,0.659939229,0.276907444,0.268838406
Denmark,Western Europe,1903,7.834233284,10.88872623,0.954190502,68.73999786,0.932086229,0.235808134,0.206005678,0.777935743,0.194323689,0.592505932
Dominican Republic,Latin America and Caribbean,1903,5.081305981,9.365398407,0.847544849,65.12000275,0.886246681,-0.010273828,0.771574259,0.72255975,0.260098964,0.484912902
Ecuador,Latin America and Caribbean,1903,4.995875359,9.193846703,0.838859499,64.77999878,0.669843376,-0.066260122,0.829651475,0.803224921,0.286144197,0.47462526
Egypt,Middle East and North Africa,1903,5.540510654,9.085371971,0.685863256,61.52000046,0.609076858,-0.119832203,,0.599707186,0.355347604,
El Salvador,Latin America and Caribbean,1903,5.295535088,8.901626587,0.716827035,64.94000244,0.638936818,-0.018540692,0.785098732,0.833023429,0.219138929,0.36620754
Estonia,Central and Eastern Europe,1903,5.332044125,10.34626675,0.895631552,66.05999756,0.712120891,-0.24968648,0.742697179,0.588513255,0.176231012,0.420264125
Georgia,Commonwealth of Independent States,1903,3.707194567,9.117116928,0.54836905,63.40000153,0.463722527,-0.269574046,0.697340012,0.350956768,0.235846743,0.327633679
Germany,Western Europe,1903,6.416819572,10.76004124,0.925937593,69.94000244,0.800878227,0.162688553,0.792179406,0.646914542,0.230811894,0.34976545
Ghana,Sub-Saharan Africa,1903,5.219088087,8.083511353,0.729647696,52.97999954,0.891153276,0.136071131,0.771188259,0.658397734,0.21663028,0.721768498
Greece,Western Europe,1903,6.646961212,10.53528214,0.808002651,69.76000214,0.575308859,-0.193870589,0.844570935,0.629187405,0.22174412,0.38142845
Guatemala,Latin America and Caribbean,1903,6.329581261,8.891402245,0.866397083,59.25999832,0.627586961,0.133096263,0.80974263,0.789606929,0.224379733,0.299441606
